ID,SpecificDialect,Glottocode,Type,Macroarea,Dates,DatesSource,InventoryType,TimeDepth,TimeDepthYBP,BibtexKey,Source,Comments
28,NA,aust1305,Reconstructed,Eurasia,NA,NA,all,NA,NA,sidwellrau2015austroasiatic,HUJI,NA
29,NA,asli1243,Reconstructed,Eurasia,NA,NA,all,NA,NA,sidwellrau2015austroasiatic,HUJI,NA
30,NA,saam1281,Reconstructed,Eurasia,NA,NA,all,NA,NA,koponen2022saami,HUJI,NA
31,NA,celt1248,Reconstructed,Eurasia,NA,NA,all,NA,NA,kummel2007konsonantenwandel,HUJI,NA
32,NA,balt1263,Reconstructed,Eurasia,NA,NA,all,NA,NA,kummel2007konsonantenwandel,HUJI,NA
33,NA,indo1320,Reconstructed,Eurasia,NA,NA,all,NA,NA,kummel2007konsonantenwandel,HUJI,NA
34,NA,slav1255,Reconstructed,Eurasia,NA,NA,all,NA,NA,kummel2007konsonantenwandel,HUJI,NA
35,NA,ital1284,Reconstructed,Eurasia,NA,NA,all,NA,NA,kummel2007konsonantenwandel,HUJI,NA
36,NA,balt1263,Reconstructed,Eurasia,NA,NA,all,NA,NA,kummel2007konsonantenwandel,HUJI,NA
37,NA,anat1257,Reconstructed,Eurasia,3.5-3K,NA,all,NA,NA,kummel2007konsonantenwandel,HUJI,NA
38,NA,tokh1241,Reconstructed,Eurasia,NA,NA,all,NA,NA,kummel2007konsonantenwandel,HUJI,NA
39,NA,nuri1243,Reconstructed,Eurasia,NA,NA,consonants only,NA,NA,kummel2007konsonantenwandel,HUJI,NA
40,NA,iran1269,Reconstructed,Eurasia,NA,NA,all,NA,NA,kummel2007konsonantenwandel,HUJI,NA
41,NA,alba1267,Reconstructed,Eurasia,NA,NA,consonants only,NA,NA,kummel2007konsonantenwandel,HUJI,NA
42,NA,gree1276,Reconstructed,Eurasia,NA,NA,all,NA,NA,kummel2007konsonantenwandel,HUJI,NA
43,NA,germ1287,Reconstructed,Eurasia,NA,NA,all,NA,NA,kummel2007konsonantenwandel,HUJI,NA
