ID,Name,Description
A091D5BE5E94E04BB5D325F3B4D1C13D,ɨ̥,LATIN SMALL LETTER I WITH STROKE - COMBINING RING BELOW
E0A85D9E738F85CF9A03AE87E20EB4EA,rˀ,LATIN SMALL LETTER R - MODIFIER LETTER GLOTTAL STOP
C74D4CD97FCB1EB3BA8BB86CC7A68647,ɵ,LATIN SMALL LETTER BARRED O
88077D69EC74F838E3E0CB894B5E7E70,ɵː,LATIN SMALL LETTER BARRED O - MODIFIER LETTER TRIANGULAR COLON
E627208937A56F5A8C1A5994DE4D9C8A,ŋk,LATIN SMALL LETTER ENG - LATIN SMALL LETTER K
BF12DE184C2966E2D5F83A7F25285B98,mp,LATIN SMALL LETTER M - LATIN SMALL LETTER P
85724A21B8DBE4FE9B73D6508EFC00D9,nt,LATIN SMALL LETTER N - LATIN SMALL LETTER T
2FD2F5D4CB36D467FCD801D5AC780228,aj,LATIN SMALL LETTER A - LATIN SMALL LETTER J
7FF9CE2E3E82788B4FF51ABA6AE42B60,aw,LATIN SMALL LETTER A - LATIN SMALL LETTER W
8AD5C612764E127E084477DD1C52B817,cç,LATIN SMALL LETTER C - LATIN SMALL LETTER C WITH CEDILLA
BE81A18FCCFFEDC9ACF3B18F14E766BD,ɖ,LATIN SMALL LETTER D WITH TAIL
F326C3A9DEC331359D3C189A02B5F7E5,ɟʝ,LATIN SMALL LETTER DOTLESS J WITH STROKE - LATIN SMALL LETTER J WITH CROSSED-TAIL
ECD13982078F0330EDE617F71AB50BBF,tʲʼ,LATIN SMALL LETTER T - MODIFIER LETTER SMALL J - MODIFIER LETTER APOSTROPHE
6DDDC3022EB17BD848620F246D867FD1,ns,LATIN SMALL LETTER N - LATIN SMALL LETTER S
98C25FD77ED38B80CBD57629F93A9DF8,tˠ,LATIN SMALL LETTER T - MODIFIER LETTER SMALL GAMMA
17D3D8B5A69D84B5A0CE42107F458826,mˠ,LATIN SMALL LETTER M - MODIFIER LETTER SMALL GAMMA
AB82830F169A66AB145EF22527B96A24,ŋɡʷ,LATIN SMALL LETTER ENG - LATIN SMALL LETTER SCRIPT G - MODIFIER LETTER SMALL W
BF334E795E5CAAAC193F6D3B1CFFAD84,ĕ,LATIN SMALL LETTER E - COMBINING BREVE
740DB365E4CF6779158B9454DBDD1460,uo,LATIN SMALL LETTER U - LATIN SMALL LETTER O
35B6E18B055F7621FA32D24600C7EDC6,kː,LATIN SMALL LETTER K - MODIFIER LETTER TRIANGULAR COLON
30165CD7CBD456AD23965FFF9324A6E9,mː,LATIN SMALL LETTER M - MODIFIER LETTER TRIANGULAR COLON
DCA95603F25D35DC7849C173B1B63642,mbʷ,LATIN SMALL LETTER M - LATIN SMALL LETTER B - MODIFIER LETTER SMALL W
0A6EAA5C52B5FA8BF685047F7CE47780,nː,LATIN SMALL LETTER N - MODIFIER LETTER TRIANGULAR COLON
