ID,Language_ID,Parameter_ID,Value,Inventory_ID,PhonemeNotes,PhonemeNFD
202,atha1247,7FF174469DAC4E61520F4E1610B2F088,s,1110,NA,s
203,atha1247,9F90F95459807624A486F03FE5A89978,t,1110,NA,t
204,atha1247,11D5EDE5CF43EE6FA131900D77195344,tʼ,1110,NA,tʼ
205,atha1247,1348048F53951A5E29ABA6D5360925BA,t̠ʃ,1110,NA,t̠ʃ
206,atha1247,73C29ACCE17EFB4239E53D799AD7C696,t̠ʃʼ,1110,NA,t̠ʃʼ
207,atha1247,5685FEAEF0E34B92C6562FDE7687D3DA,tɬ,1110,NA,tɬ
208,atha1247,2DB690B58A1A825334598BDE8BE44D7D,tɬʼ,1110,NA,tɬʼ
209,atha1247,106C7FE93D986D037407524D08F3599A,ts,1110,NA,ts
210,atha1247,BAC70456E8C04CEFDCAC8240DAFE192F,tsʼ,1110,NA,tsʼ
211,atha1247,58EB693AE523323410326D60806B9ADF,u,1110,NA,u
212,atha1247,501394D0E2658752D9DA624E7DEBE14B,w,1110,NA,w
213,atha1247,CFDC3D2764B7C450CAB7DFC1854E8C75,xʲ,1110,NA,xʲ
214,atha1247,3E7F3BD0FDB7AC2A82E00F8EAB935528,ɡʷʲ,1110,NA,ɡʷʲ
215,atha1247,17D7E55C5AFA44912A3BE9179FDEA482,kʷʲ,1110,NA,kʷʲ
216,atha1247,3B1C8D8C984948EB38A2FC40CCE27AEE,xʷʲ,1110,NA,xʷʲ
217,atti1240,8A61A9B6039DB852CE150BEC6198AFE5,ɛ,1104,NA,ɛ
218,atti1240,55C328C4539D138964636333EABA3949,ɔ,1104,NA,ɔ
219,atti1240,72FB536ACFF408163656BBCDAFCAC6F6,a,1104,NA,a
220,atti1240,B6D180EA250E6FBDE82C3D1F1BB4A39C,æ,1104,NA,æ
221,atti1240,694212B746622E482E0E58D50036100E,b,1104,NA,b
222,atti1240,E6253384902D489FDB1FE487B7ED4AB2,d,1104,NA,d
223,atti1240,199408E3D0668F10F475143F0E8CC0CB,e,1104,NA,e
224,atti1240,ECC959553F23387998DAF88D69D7736C,ɡ,1104,NA,ɡ
225,atti1240,E7FBD92350B3CA8B7B5D77E36A607068,h,1104,NA,h
226,atti1240,F0585BB57111C322D6E7DABB0D01F9EA,i,1104,NA,i
227,atti1240,5A838FF4DABE1950734CFAFAB9383903,k,1104,NA,k
228,atti1240,BD29F40254AA0996800A773122397C28,kʰ,1104,NA,kʰ
229,atti1240,03413638BD1DFC7AEF53192FEF71F017,l,1104,NA,l
230,atti1240,5AE9663626770D1D4B97AAE5769AB83C,m,1104,NA,m
231,atti1240,E03DA215BAB0A158BA5D1CB5C4D5D6FD,n,1104,NA,n
232,atti1240,5AC0158A367D59E8C16A876321E578AB,o,1104,NA,o
233,atti1240,2D6FB64B3CDC3549EF11DB98A66A9EAD,p,1104,NA,p
234,atti1240,6E065D8A2F199BCBC7CA7074EC4DE834,pʰ,1104,NA,pʰ
235,atti1240,5D1D7FB69E1A3C0C60001FBC0C19ED87,r,1104,NA,r
236,atti1240,7FF174469DAC4E61520F4E1610B2F088,s,1104,NA,s
237,atti1240,9F90F95459807624A486F03FE5A89978,t,1104,NA,t
238,atti1240,4EEF82037BC182F6353941401E583F45,tʰ,1104,NA,tʰ
239,atti1240,58EB693AE523323410326D60806B9ADF,u,1104,NA,u
240,atti1240,27E498422242BAF54775C75A8C884CF7,y,1104,NA,y
241,,941ED37AAF5E9C4E1B40D85008C6B2D9,ŋ,1059,NA,ŋ
242,,72FB536ACFF408163656BBCDAFCAC6F6,a,1059,NA,a
243,,2F272C9C5FA2DA70706B565B2DC46DE8,aː,1059,NA,aː
244,,694212B746622E482E0E58D50036100E,b,1059,NA,b
245,,E6253384902D489FDB1FE487B7ED4AB2,d,1059,NA,d
246,,320B62404207303F61B0F772296C9545,ɟ,1059,NA,ɟ
247,,ECC959553F23387998DAF88D69D7736C,ɡ,1059,NA,ɡ
248,,F0585BB57111C322D6E7DABB0D01F9EA,i,1059,NA,i
249,,D7A90868F42885077FD3F44A8440B3BB,iː,1059,NA,iː
250,,ADF56B8E4119266843033E723A149AE2,j,1059,NA,j
251,,03413638BD1DFC7AEF53192FEF71F017,l,1059,NA,l
252,,1C7F2960BE4EDD840C01C94930F1D932,ʎ,1059,NA,ʎ
253,,5AE9663626770D1D4B97AAE5769AB83C,m,1059,NA,m
254,,E03DA215BAB0A158BA5D1CB5C4D5D6FD,n,1059,NA,n
255,,1AD6D96C35E6ADA62F1EAF5B167F75F7,ɲ,1059,NA,ɲ
256,,5D1D7FB69E1A3C0C60001FBC0C19ED87,r,1059,NA,r
257,,58EB693AE523323410326D60806B9ADF,u,1059,NA,u
258,,3A9677F59A8D4980D4DEADD51C55FF1C,uː,1059,NA,uː
259,,501394D0E2658752D9DA624E7DEBE14B,w,1059,NA,w
260,,0FD087805B29DDC87A7BC2D136B0A201,rː,1059,NA,rː
261,aust1307,0844E3AEAF1C8E3837465942B92FE4C5,ʔ,1041,NA,ʔ
262,aust1307,CEB8A516242B5E336874AC64E81D655E,ɘ,1041,NA,ɘ
263,aust1307,941ED37AAF5E9C4E1B40D85008C6B2D9,ŋ,1041,NA,ŋ
264,aust1307,941A64F284E12ACB5A54580F5D22337A,ʀ,1041,NA,ʀ
265,aust1307,72FB536ACFF408163656BBCDAFCAC6F6,a,1041,NA,a
266,aust1307,694212B746622E482E0E58D50036100E,b,1041,NA,b
267,aust1307,E6253384902D489FDB1FE487B7ED4AB2,d,1041,NA,d
268,aust1307,320B62404207303F61B0F772296C9545,ɟ,1041,NA,ɟ
269,aust1307,17B1CFA69C0C6AB5362FFDB585C0C7DC,dz,1041,NA,dz
270,aust1307,ECC959553F23387998DAF88D69D7736C,ɡ,1041,NA,ɡ
271,aust1307,E7FBD92350B3CA8B7B5D77E36A607068,h,1041,NA,h
272,aust1307,F0585BB57111C322D6E7DABB0D01F9EA,i,1041,NA,i
273,aust1307,ADF56B8E4119266843033E723A149AE2,j,1041,NA,j
274,aust1307,5A838FF4DABE1950734CFAFAB9383903,k,1041,NA,k
275,aust1307,03413638BD1DFC7AEF53192FEF71F017,l,1041,NA,l
276,aust1307,512D7E3344FCD21B1EE47971D72DB39A,ɭ,1041,NA,ɭ
277,aust1307,5AE9663626770D1D4B97AAE5769AB83C,m,1041,NA,m
278,aust1307,E03DA215BAB0A158BA5D1CB5C4D5D6FD,n,1041,NA,n
279,aust1307,2D6FB64B3CDC3549EF11DB98A66A9EAD,p,1041,NA,p
280,aust1307,4AC7382217172B3821AE54CD38BD8698,q,1041,NA,q
281,aust1307,5D1D7FB69E1A3C0C60001FBC0C19ED87,r,1041,NA,r
282,aust1307,7FF174469DAC4E61520F4E1610B2F088,s,1041,NA,s
283,aust1307,9B4FF3CA9C2C2CC0884F937ECD88C04D,ʂ,1041,NA,ʂ
284,aust1307,106C7FE93D986D037407524D08F3599A,ts,1041,NA,ts
285,aust1307,58EB693AE523323410326D60806B9ADF,u,1041,NA,u
286,aust1307,501394D0E2658752D9DA624E7DEBE14B,w,1041,NA,w
287,aust1307,E77FDA2EAABA78B3E55A968B2257CF26,z,1041,NA,z
288,narr1281,72FB536ACFF408163656BBCDAFCAC6F6,a,1094,NA,a
289,narr1281,694212B746622E482E0E58D50036100E,b,1094,NA,b
290,narr1281,852A220443D41F0A63671A2F4DEC9788,c,1094,NA,c
291,narr1281,E6253384902D489FDB1FE487B7ED4AB2,d,1094,NA,d
292,narr1281,320B62404207303F61B0F772296C9545,ɟ,1094,NA,ɟ
293,narr1281,199408E3D0668F10F475143F0E8CC0CB,e,1094,NA,e
294,narr1281,ECC959553F23387998DAF88D69D7736C,ɡ,1094,NA,ɡ
295,narr1281,F0585BB57111C322D6E7DABB0D01F9EA,i,1094,NA,i
296,narr1281,371C7EA07921978BC3CA2823648D035D,i̝,1094,NA,i̝
297,narr1281,5A838FF4DABE1950734CFAFAB9383903,k,1094,NA,k
298,narr1281,5AE9663626770D1D4B97AAE5769AB83C,m,1094,NA,m
299,narr1281,E03DA215BAB0A158BA5D1CB5C4D5D6FD,n,1094,NA,n
300,narr1281,1AD6D96C35E6ADA62F1EAF5B167F75F7,ɲ,1094,NA,ɲ
301,narr1281,5AC0158A367D59E8C16A876321E578AB,o,1094,NA,o
302,narr1281,2D6FB64B3CDC3549EF11DB98A66A9EAD,p,1094,NA,p
303,narr1281,9F90F95459807624A486F03FE5A89978,t,1094,NA,t
304,narr1281,58EB693AE523323410326D60806B9ADF,u,1094,NA,u
305,narr1281,088F68C26E5BFD00C5C1B6FBD0C2051A,u̝,1094,NA,u̝
306,cent2243,0844E3AEAF1C8E3837465942B92FE4C5,ʔ,1038,NA,ʔ
307,cent2243,A933E2A015DCF1AB1B946DBA04C1958C,ç,1038,NA,ç
308,cent2243,CF50E15F866A7B9698A8F95C5C9B48B2,ɪ,1038,NA,ɪ
309,cent2243,941ED37AAF5E9C4E1B40D85008C6B2D9,ŋ,1038,NA,ŋ
310,cent2243,9D6EBFB925E507CEC3D4A539BFD0BF08,ŋm,1038,NA,ŋm
311,cent2243,10FD223095BD60FD89BEC828E5FD0A26,ʊ,1038,NA,ʊ
312,cent2243,72FB536ACFF408163656BBCDAFCAC6F6,a,1038,NA,a
313,cent2243,694212B746622E482E0E58D50036100E,b,1038,NA,b
314,cent2243,CFA86CE56605194A2F338BA3E3974EA3,ɓ,1038,NA,ɓ
315,cent2243,852A220443D41F0A63671A2F4DEC9788,c,1038,NA,c
316,cent2243,E6253384902D489FDB1FE487B7ED4AB2,d,1038,NA,d
317,cent2243,192EEEA914E770D60BEC3F86DAED50AA,ɗ,1038,NA,ɗ
318,cent2243,320B62404207303F61B0F772296C9545,ɟ,1038,NA,ɟ
319,cent2243,434450844FAF9386CA9AD2E0E919570E,ʄ,1038,NA,ʄ
320,cent2243,199408E3D0668F10F475143F0E8CC0CB,e,1038,NA,e
321,cent2243,86E80A7DA80F7F58CA76F85BACA48F86,f,1038,NA,f
322,cent2243,ECC959553F23387998DAF88D69D7736C,ɡ,1038,NA,ɡ
323,cent2243,1F27FEFCD8402C09E00300258B5A7EE2,ɡb,1038,NA,ɡb
324,cent2243,F0585BB57111C322D6E7DABB0D01F9EA,i,1038,NA,i
325,cent2243,ADF56B8E4119266843033E723A149AE2,j,1038,NA,j
